Leeftijdsgroep,2021-04-13 00:00:00,2,3,Date
0 - 3 48335,,2954 6.1,8708 484 5.6,2021-04-13
4 - 12 591042,,34321 5.8,76728 4622 6.0,2021-04-13
13 - 17 200849,,21106 10.5,30292 3324 11.0,2021-04-13
18 - 24 413838,,44630 10.8,53838 6398 11.9,2021-04-13
25 - 29 302676,,26293 8.7,38805 3733 9.6,2021-04-13
30 - 39 703624,,49803 7.1,85661 6802 7.9,2021-04-13
40 - 49 551401,,48526 8.8,68309 6972 10.2,2021-04-13
50 - 59 472243,,54610 11.6,60096 7558 12.6,2021-04-13
60 - 69 349146,,33685 9.6,42946 4410 10.3,2021-04-13
70 - 79 163407,,17076 10.4,19561 2339 12.0,2021-04-13
80+ 43050,,5849 13.6,3472 445 12.8,2021-04-13
